origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,0.0,,"
  Cuaba  Soberbios",Hand Made,http://www.cigars-review.org/Cuaba-Soberbios.htm,185,,Thick,Salomon,57,
Cuba,0.0,,"
  Cuaba  Salomones II",Hand Made,http://www.cigars-review.org/Cuaba-Salomones-ii.htm,174,,Thick,Salomon II,57,
Cuba,3.5,"14,26 gr.","
  Cuaba  Piramides LE 2008",Hand Made,http://www.cigars-review.org/Cuaba-Piramides-LE-2008.htm,156,7.4,Thick,Piramide,52,Semi Plain boxes with 10 sticks in two layers.
Cuba,3.5,"7,7 gr.","
  Cuaba  Tradicionales",Hand Made,http://www.cigars-review.org/Cuaba-Tradicionales.htm,120,6.7,Medium,Favoritos,41,2 Layers in a Box of 25
Cuba,3.5,"6,09 gr.","
  Cuaba  Divinos",Hand Made,http://www.cigars-review.org/Cuaba-Divinos.htm,101,6.9,Medium,Petit Bouquet,42,2 Layers in a Box of 25
Cuba,3.5,"8,91 gr.","
  Cuaba  Exclusivos",Hand Made,http://www.cigars-review.org/Cuaba-Exclusivos.htm,145,7.5,Medium,Exquisitos,46,2 Layers in a Box of 25
Cuba,3.0,"7,64 gr.","
  Cuaba  Generosos",Hand Made,http://www.cigars-review.org/Cuaba-Generosos.htm,132,6.4,Medium,Generosos,41,2 Layers in a Box of 25
Cuba,4.5,,"
  Cuaba  Salomones",Hand Made,http://www.cigars-review.org/Cuaba-Salomones.htm,185,9.0,Thick,Salomon,57,2 Layers in a Box of 25
Cuba,0.0,,"
  Cifuentes  Petit Bouquets",Machine Made,http://www.cigars-review.org/Cifuentes-Petit-Bouquets.htm,98,,Thin,Infantes,37,Semi Plain Box: (With cellophane) Boxes of 25.
Cuba,4.0,"14,26 gr.","
  Cuaba  Distinguidos",Hand Made,http://www.cigars-review.org/Cuaba-Distinguidos.htm,162,8.3,Thick,Romeos,52,25 cigars packaged in a decorative ceramic jar
Cuba,3.0,"6,72 gr.","
  Cabanas  Superfinos",Machine Made,http://www.cigars-review.org/Cabanas-Superfinos.htm,117,,Medium,Coronitas,40,Semi Plain Box: (With cellophane) Boxes of 25.
Cuba,0.0,"6,4 gr.","
  Cifuentes  Vegueritos",Machine Made,http://www.cigars-review.org/Cifuentes-Vegueritos.htm,127,,Thin,Veguerito,37,"Semi Plain Box: (With cellophane) boxes of 25.
Cardboard Pack: (With cellophane) boxes of 5 in boxes of 50."
Cuba,4.5,,"
  Cuaba  Diademas",Hand Made,http://www.cigars-review.org/Cuaba-Diademas.htm,233,8.7,Thick,Diademas,55,2 Layers in a Box of 25
Cuba,0.0,,"
  Ramon Allones  Lusitanos",Hand Made,http://www.cigars-review.org/Ramon-Allones-Lusitanos.htm,110,,Thick,Petit Edmundo,52,
Cuba,4.0,"5,01 gr.","
  Vegueros  Seoane",Hand Made,http://www.cigars-review.org/Vegueros-de-Pinar-del-Rio-Seoane.htm,125,7.9,Thin,Seoane,36,2 Layers in a Box of 25
Cuba,0.0,,"
  Cohiba  Robusto Especial",Hand Made,http://www.cigars-review.org/Cohiba-Robusto-Especial.htm,192,,Thick,Robustos Especiales,50,
Cuba,3.5,"6,72 gr.","
  Romeo y Julieta  Regalias de Londres",Machine Made,http://www.cigars-review.org/Romeo-y-Julieta-Regalias-De-Londres.htm,117,7.1,Medium,Coronitas,40,Semi Plain Box: (With cellophane) Boxes of 25; (Without cellophane) Boxes of 25.
Cuba,3.5,,"
  Romeo y Julieta  Wide Churchills",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Wide-Churchills.htm,130,7.3,Thick,Montesco,55,
Cuba,3.0,"18,79 gr.","
  Cifuentes  Super Estupendos",Hand Made,http://www.cigars-review.org/Cifuentes-Super-Estupendos.htm,235,,Thick,Gran Corona,47,Semi Plain Box: (Without cellophane) Boxes of 10.
Cuba,0.0,"5,01 gr.","
  Romeo y Julieta  Shakespeare",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Shakespeare.htm,175,,Thin,Panetela Larga,28,Semi Plain Box: (Without cellophane) boxes of 25.
Cuba,4.5,"6,72 gr.","
  Romeo y Julieta  Tres Petit Coronas",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Tres-Petit-Coronas.htm,116,8.7,Medium,Franciscano,40,2 Layers in a Box of 25
Cuba,4.0,,"
  Romeo y Julieta  Short Churchills",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Short-Churchill.htm,124,8.3,Thick,Short Churchill,50,Box of 25
Cuba,3.5,,"
  Romeo y Julieta  Sports Largos",Machine Made,http://www.cigars-review.org/Romeo-y-Julieta-Sports-Largos.htm,117,7.3,Thin,Sports,35,Semi Plain Box: (With cellophane) Boxes of 25; (Without cellophane) Boxes of 25.
Cuba,0.0,,"
  Romeo y Julieta  Romeos",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeos.htm,,,,,,
Cuba,4.0,"9,29 gr.","
  Romeo y Julieta  Romeos No. 1 de Luxe",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeos-No-1-de-Luxe.htm,142,7.5,Medium,Corona,42,3 Layers of aluminium tubes in a box of 25
Cuba,3.5,"6,72 gr.","
  Romeo y Julieta  Romeos No. 3 de Luxe",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeos-No-3-de-Luxe.htm,116,6.9,Medium,Franciscano,40,3 Layers of cedar-lined aluminium tubes in a box o
Cuba,3.5,"8,46 gr.","
  Romeo y Julieta  Romeos No. 2 de Luxe",Hand Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeos-No-2-de-Luxe.htm,129,7.2,Medium,Petit Corona,42,Three layers of cedar-lined aluminium tubes in a b
Cuba,3.0,"6,72 gr.","
  Romeo y Julieta  Romeo No 3",Machine Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeo-No-3.htm,117,5.5,Medium,Coronitas,40,Semi Plain Box: (In aluminium tubes) boxes of 10 and boxes of 25.
Cuba,2.0,,"
  Romeo y Julieta  Romeo No 1",Machine Made,http://www.cigars-review.org/Romeo-y-Julieta-Romeo-No-1.htm,140,4.1,Medium,Cremas,40,Semi Plain Box: (In aluminium tubes) boxes of 5 and boxes of 25.
