origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,0.0,,Maria Guerrero Bouquets Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Maria-Guerrero-Bouquets.htm,127,,Medium,,,
Cuba,3.5,,Partagas Salomones Espanola Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Salomones-Espanola.htm,184,7.4,Thick,Salomones Espanola,57,Special Packaging: 150 Humidors of 50 cigars.
Cuba,4.0,,Partagas Princess Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Princess.htm,127,7.8,Thin,Conchitas,35,Semi Plain Box: (With cellophane) boxes of 10 and 25; (Without cellophane) boxes of 10 and 25.
Cuba,4.0,"10,79 gr.",Partagas Presidentes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Presidentes.htm,158,7.6,Thick,Taco,47,2 Layers in a Box of 25
Cuba,4.5,"14,26 gr.",Partagas Piramides LE 2000 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Piramides-LE-2000.htm,156,9.3,Thick,Piramide,52,2 Layers in a Box of 25
Cuba,4.0,"8,46 gr.",Partagas Petit Privados Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Petit-Privados.htm,129,,Medium,Mareva,42,Semi Plain Box: (In aluminium tubes) Boxes of 10 and boxes of 25.
Cuba,4.5,"7,52 gr.",Partagas Petit Partagas Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Petit-Partagas.htm,129,,Medium,Petit Cetro,40,Semi PLain Box: (With cellophane) boxes of 25; (Without cellophane) boxes of 25.
Cuba,0.0,"7,52 gr.",Partagas Personales Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Personales.htm,129,,Medium,Petit Cetro,40,Semi Plain Box: (In aluminium tubes) boxes of 25.
Cuba,3.0,,Partagas Petit Bouquets Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Petit-Bouquets.htm,98,,Thin,Infantes,37,Semi Plain Box: (With cellophane) Boxes of 25.
Cuba,2.0,"8,46 gr.",Partagas Petit Coronas Tubos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Petit-Coronas-Tubos.htm,132,,Medium,Eminentes,44,Semi Plain Box: (In aluminium tubes) boxes of 25.
Cuba,3.5,,Partagas Perfectos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Perfectos.htm,127,,Medium,Perfectos,44,Semi Plain Box: (With cellophane) boxes of 25
Cuba,3.0,,Partagas Partagas De Luxe Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Partagas-De-Luxe.htm,140,5.8,Medium,Cremas,40,Semi Plain Box: (In aluminium tubes) Boxes of 10 and 25
Cuba,4.0,"8,46 gr.",Partagas Petit Coronas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Petit-Coronas.htm,129,8.5,Medium,Mareva,42,2 Layers in a Box of 25
Cuba,4.5,"11,86 gr.",Partagas Partagas de Partagas No. 1 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Partagas-de-Partagas-No-1.htm,170,8.6,Medium,Dalia,43,2 Layers in a Box of 25
Cuba,0.0,,Partagas Palmas Reales Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Palmas-Reales.htm,160,,Medium,,,
Cuba,0.0,,Partagas Panetelas Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Panetelas.htm,127,,Thin,Conchitas,35,Semi Plain Box: (With cellophane) boxes of 10 and boxes of 25; (Without cellophane) boxes of 10 and boxes of 25.
Cuba,4.0,"8,46 gr.",Partagas Petit Coronas Especiales Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Petit-Coronas-Especiales.htm,132,7.6,Medium,Eminentes,44,"Semi Plain Box: (With cellophane) boxes of 10 and 25; (Without cellophane) boxes of 10 and 25.
Cardboard Pack: (With cellophane) boxes of 10 in boxes of 25 and 100; (Without cellophane) boxes of 5 in boxes of 25 and 100.
Special packaging: (With celloph"
Cuba,0.0,"7,07 gr.",Partagas Palmas Grandes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Palmas-Grandes.htm,178,,Thin,Ninfa,33,Semi Plain Box: Without cellophane) Boxes of 25.
Cuba,3.5,"7,52 gr.",Partagas Parisianos Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Parisianos.htm,129,,Medium,Petit Cetro,40,Semi Plain Box: (With cellophane) boxes of 25; (Without cellophane) boxes of 25.
Cuba,4.5,"7,52 gr.",Partagas Londres Finos Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Londres-Finos.htm,129,,Medium,Petit Cetro,40,"Semi Plain Box: (With cellophane) boxes of 10 and 25; (Without cellophane) boxes of 10 and 25.
Cardboard Pack: (With cellophane) boxes in 5 in boxes of 25 and 50; (Without cellophane) boxes of 5 in boxes of 25; boxes of 5 in boxes of 50."
