origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,4.0,"14,26 gr.","
  H. Upmann  Upmann No. 2",Hand Made,http://www.cigars-review.org/H-Upmann-Upmann-No-2.htm,156,8.5,Thick,Piramide,52,2 Layers in a Box of 25
Cuba,0.0,"6,72 gr.","
  H. Upmann  Singulares",Machine Made,http://www.cigars-review.org/H-Upmann-Singulares.htm,117,,Medium,Coronitas,40,"Semi Plain Box (In aluminium tubes) 25's.
Special Packaging: Cajon 100's."
Cuba,4.5,"11,41 gr.","
  H. Upmann  Super Coronas",Hand Made,http://www.cigars-review.org/H-Upmann-Super-Coronas.htm,143,8.8,Thick,Corona Gorda,46,2 Layers in a Box of 25
Cuba,4.5,"11,66 gr.","
  H. Upmann  Robustos",Hand Made,http://www.cigars-review.org/H.-Upmann-Robustos.htm,124,,Thick,Robusto,50,
Cuba,3.5,"9,29 gr.","
  H. Upmann  Royal Coronas",Hand Made,http://www.cigars-review.org/H.-Upmann-Royal-Coronas.htm,142,,Medium,Corona,42,3 Layers of cedar-lined aluminium tubes in a box o
Cuba,4.5,"15,07 gr.","
  H. Upmann  Sir Winston",Hand Made,http://www.cigars-review.org/H-Upmann-Sir-Winston.htm,178,8.9,Thick,Julieta No. 2,47,2 Layers in a Cabinet of 25
Cuba,0.0,"17,86 gr.","
  H. Upmann  Prominentes",Hand Made,http://www.cigars-review.org/H.-Upmann-Prominentes.htm,194,,Thick,Prominente,49,
Cuba,4.5,15 gr.,"
  H. Upmann  Royal Robustos",Hand Made,http://www.cigars-review.org/H.-Upmann-Royal-Robustos.htm,135,8.7,Thick,Edmundo,52,
Cuba,4.0,"5,43 gr.","
  H. Upmann  Petit Palatinos",Hand Made,http://www.cigars-review.org/H-Upmann-Petit-Palatinos.htm,115,,Thin,Cadete,36,Semi Plain Box with cellophane 25's.
Cuba,3.5,"8,46 gr.","
  H. Upmann  Regalias",Machine Made,http://www.cigars-review.org/H-Upmann-Regalias.htm,129,7.2,Medium,Petit Coronas,42,Semi Plain Box with cellophane 25's and without cellophane 25's.
Cuba,4.5,,"
  H. Upmann  Naturales",Hand Made,http://www.cigars-review.org/H-Upmann-Naturales.htm,155,,Thin,Naturales,37,"Semi Plain Box (in aluminium tubes) 10's, 25's."
Cuba,4.0,,"
  H. Upmann  Preciosas",Machine Made,http://www.cigars-review.org/H-Upmann-Preciosas.htm,100,,Thin,Demi Tasse,32,Semi Plain Box with cellophane 25's
Cuba,3.5,,"
  H. Upmann  Petit H. Upmann",Hand Made,http://www.cigars-review.org/H-Upmann-Petit-Hupmann.htm,108,,Thin,Petit,31,Semi Plain Box without cellophane 25's.
Cuba,4.5,"8,84 gr.","
  H. Upmann  Noellas",Hand Made,http://www.cigars-review.org/H-Upmann-Noellas.htm,135,,Medium,Cosacos,42,Special Packaging: Glass Jar 25's.
Cuba,0.0,"8,46 gr.","
  H. Upmann  Medias Coronas MM",Machine Made,http://www.cigars-review.org/H-Upmann-Medias-Coronas-MM.htm,132,,Medium,Eminentes,44,Special Packaging: 214 (In aluminium packs without cellophane 5's in 50's.
Cuba,4.0,"5,43 gr.","
  H. Upmann  Petit Upmann",Hand Made,http://www.cigars-review.org/H-Upmann-Petit-Upmann.htm,115,8.5,Thin,Cadete,36,2 Layers in a Box of 25
Cuba,0.0,"8,46 gr.","
  H. Upmann  Medias Coronas HM",Hand Made,http://www.cigars-review.org/H-Upmann-Medias-Coronas-HM.htm,129,,Medium,Mareva,42,Special Packaging: (In aluminium packs without cellophane 5's in 50's.
Cuba,3.5,"8,46 gr.","
  H. Upmann  Petit Coronas",Hand Made,http://www.cigars-review.org/H-Upmann-Petit-Coronas.htm,129,7.4,Medium,Mareva,42,2 Layers in a Box of 25
Cuba,3.5,,"
  H. Upmann  Majestic",Hand Made,http://www.cigars-review.org/H-Upmann-Majestic.htm,140,6.8,Medium,Cremas,40,"Semi Plain Box with cellophane; 208, 708 without cellophane 25's."
Cuba,4.5,"15,07 gr.","
  H. Upmann  Monarcas",Hand Made,http://www.cigars-review.org/H-Upmann-Monarcas.htm,178,8.7,Thick,Julieta No. 2,47,2 Layers in a Box of 25
Cuba,0.0,,"
  H. Upmann  Magnum Especial",Hand Made,http://www.cigars-review.org/H.-Upmann-Magnum-Especial.htm,170,,Thick,Magnum Especial,55,
Cuba,4.5,"15,07 gr.","
  H. Upmann  Monarchs",Machine Made,http://www.cigars-review.org/H-Upmann-Monarchs.htm,178,8.9,Thick,Julieta No. 2,47,Semi Plain Box: Boxes of 25.
Cuba,4.5,15 gr.,"
  H. Upmann  Magnum 50 LE 2005",Hand Made,http://www.cigars-review.org/H-Upmann-Magnum-50-Edicion-Limitada.htm,160,9.2,Thick,Double Robusto,50,Varnished box of 25 cigars
Cuba,4.0,"11,41 gr.","
  H. Upmann  Magnum 46",Hand Made,http://www.cigars-review.org/H-Upmann-Magnum-46.htm,143,8.5,Thick,Corona Gorda,46, Slide-lid box of 25
Cuba,0.0,,"
  H. Upmann  Hussars",Hand Made,http://www.cigars-review.org/H-Upmann-Hussars.htm,152,,Thin,,,
Cuba,0.0,"8,46 gr.","
  H. Upmann  Exquisitos",Machine Made,http://www.cigars-review.org/H-Upmann-Exquisitos.htm,129,,Medium,Petit Coronas,42,Semi Plain Box with cellophane 25's.
Cuba,4.0,"8,46 gr.","
  H. Upmann  Kings",Machine Made,http://www.cigars-review.org/H-Upmann-Kings.htm,129,,Medium,Petit Coronas,42,Semi Plain Box with cellophane 25's and without cellophane 25's.
Cuba,4.0,"10,8 gr.","
  H. Upmann  Lonsdales",Hand Made,http://www.cigars-review.org/H-Upmann-Lonsdales.htm,165,7.9,Medium,Cervantes,42,2 Layers in a Box of 25
Cuba,0.0,,"
  H. Upmann  Glorias",Hand Made,http://www.cigars-review.org/H.-Upmann-Glorias.htm,110,,Thin,Epicures,35,
Cuba,3.5,15 gr.,"
  H. Upmann  Magnum 50",Hand Made,http://www.cigars-review.org/H-Upmann-Magnum-50.htm,160,7.0,Thick,Double Robusto,50,"Slide lid boxes comprising 10, 25 or 50 cigars."
Cuba,3.0,"8,46 gr.","
  H. Upmann  Gran Coronas",Hand Made,http://www.cigars-review.org/H-Upmann-Gran-Coronas.htm,146,,Medium,Superiores,40,2 Layers in a Box of 25
Cuba,0.0,,"
  H. Upmann  Excepcionales de Rothschilds",Hand Made,http://www.cigars-review.org/H-Upmann-Excepcionales.htm,127,,Medium,Perfectos,44,Semi Boite Nature with Brooch: Boxes of 25.
Cuba,3.5,,"
  H. Upmann  Magnum 48",Hand Made,http://www.cigars-review.org/H.-Upmann-Magnum-48.htm,110,6.7,Thick,Magnum 48,48,
Cuba,0.0,,"
  H. Upmann  El Prado",Hand Made,http://www.cigars-review.org/H-Upmann-El-Prado.htm,159,,Thin,Deliciosos,33,"Semi Plain Box with cellophane 25's.
Cardboard Pack with cellophane 5's and 100's."
Cuba,4.0,,"
  H. Upmann  Demi Tasse",Hand Made,http://www.cigars-review.org/H-Upmann-Demi-Tasse.htm,,,Thin,,,
Cuba,4.0,,"
  H. Upmann  Half Corona",Hand Made,http://www.cigars-review.org/H.-Upmann-Half-Corona.htm,90,8.2,Medium,Half Corona,44,
Cuba,1.0,,"
  H. Upmann  Especiales",Machine Made,http://www.cigars-review.org/H-Upmann-Especiales.htm,140,,Medium,Cremas,40,"Semi Plain Box with cellophane 25's
Cardboard Pack with cellophane 5's in 50's."
Cuba,0.0,"6,67 gr.","
  H. Upmann  Culebras",Hand Made,http://www.cigars-review.org/H-Upmann-Culebras.htm,146,,Thin,Culebra,39,Semi Plain Box without cellophane 25's.
Cuba,3.5,,"
  H. Upmann  Epicures",Machine Made,http://www.cigars-review.org/H-Upmann-Epicures.htm,110,7.0,Thin,Epicures,35,Semi Plain Box with cellophane and without cellophane.
Cuba,0.0,"8,84 gr.","
  H. Upmann  Cristales",Hand Made,http://www.cigars-review.org/H-Upmann-Cristales.htm,135,,Medium,Cosacos,42,"Special Packaging: Glass jar 25's, 50's."
Cuba,0.0,"10,8 gr.","
  H. Upmann  Cinco Bocas",Hand Made,http://www.cigars-review.org/H-Upmann-Cinco-Bocas.htm,165,,Medium,Cervantes,42,"Special Packaging: ""Cinco Bocas"" cabinet 25's."
Cuba,3.5,"8,46 gr.","
  H. Upmann  Coronas Major",Hand Made,http://www.cigars-review.org/H-Upmann-Coronas-Major.htm,129,7.5,Medium,Mareva,42,3 Layers of cedar-lined aluminium tubes in a box o
Cuba,4.5,"9,29 gr.","
  H. Upmann  Coronas",Hand Made,http://www.cigars-review.org/H-Upmann-Coronas.htm,142,8.6,Medium,Corona,42,2 Layers in a Box of 25
Cuba,3.5,"6,72 gr.","
  H. Upmann  Coronas Minor",Hand Made,http://www.cigars-review.org/H-Upmann-Coronas-Minor.htm,116,7.4,Medium,Coronitas,40,2 Layers in a Box of 25
Cuba,3.0,"5,43 gr.","
  H. Upmann  Coronas Junior",Hand Made,http://www.cigars-review.org/H-Upmann-Coronas-Junior.htm,115,6.0,Thin,Cadete,36,2 Layers in a Box of 25
